VisitorID,FirstName,LastName,ID_Passport_No,Nationality,WildCardMember,DOB,ContactNo,ModifiedDate
VID-70943,Chloe,Dlamini,C62163068,Dutch,N,1984-05-03,+27 81 972 6901,2024-01-07 00:00:00
VID-48337,Chloe,Williams,H61096850,Dutch,Y,1969-09-05,+27 70 596 9709,2024-01-03 00:00:00
VID-75621,Naledi,Pretorius,9912011651083,South African,N,1976-09-21,+27 70 601 7445,2024-01-26 00:00:00
VID-55453,Chloe,Naidoo,L93917080,American,N,1974-01-31,+27 67 613 5519,2024-01-03 00:00:00
VID-43774,Liam,Dlamini,R47606981,Dutch,Y,1965-07-24,+27 64 449 7436,2024-03-21 00:00:00
VID-60096,Emma,Smit,U40524866,American,N,1972-04-24,+27 67 686 3502,2024-01-12 00:00:00
VID-53160,Naledi,Pretorius,E37750491,German,Y,1988-01-10,+27 78 654 4314,2024-03-18 00:00:00
VID-78656,Johannes,Williams,Y29482024,Dutch,Y,1972-05-22,+27 70 169 9732,2024-02-09 00:00:00
VID-51628,Johannes,Dlamini,Y52773504,American,N,1970-08-15,+27 73 410 8258,2024-01-24 00:00:00
VID-34632,Sarah,Botha,F13516265,American,N,1984-07-24,+27 79 680 4783,2024-01-20 00:00:00
VID-13418,Zanele,Smith,W73968467,British,Y,1980-10-30,+27 76 966 8680,2024-01-30 00:00:00
VID-60785,Naledi,Ndlovu,E31983035,American,Y,1993-07-19,+27 67 133 7694,2024-01-24 00:00:00
VID-64138,Lerato,Mokoena,Y37455861,Dutch,Y,1961-05-06,+27 65 549 9027,2024-02-04 00:00:00
